Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal,
"2021-08-11",145.6516,146.3198,145.1330,145.4621,48493500.0000,145.5753,143.8668,1.7086,2.3250,
"2021-08-12",145.7912,148.6434,145.4422,148.4838,72282600.0000,146.0228,144.2088,1.8140,2.2228,
"2021-08-13",148.5636,149.0324,147.8655,148.6933,59375000.0000,146.4336,144.5409,1.8927,2.1568,
"2021-08-16",148.1348,150.7776,146.0704,150.7077,103296000.0000,147.0912,144.9977,2.0934,2.1441,
"2021-08-17",149.8202,151.2662,148.6833,149.7803,92229700.0000,147.5049,145.3520,2.1529,2.1459,
"2021-08-18",149.3914,150.3088,145.7513,145.9607,86326000.0000,147.2673,145.3971,1.8702,2.0907,
"2021-08-19",144.6344,147.5963,144.1058,146.2998,86960300.0000,147.1185,145.4640,1.6545,2.0035,
"2021-08-20",147.0378,148.0949,146.3796,147.7858,60549600.0000,147.2211,145.6360,1.5852,1.9198,
"2021-08-23",147.9054,149.7803,147.4866,149.3016,60131800.0000,147.5412,145.9075,1.6337,1.8626,
"2021-08-24",149.0423,150.4485,148.7431,149.2118,48606400.0000,147.7982,146.1523,1.6460,1.8193,
"2021-08-25",149.4013,149.9099,147.3968,147.9553,58991300.0000,147.8224,146.2858,1.5366,1.7627,
"2021-08-26",147.9453,148.7132,147.1076,147.1375,48597200.0000,147.7170,146.3489,1.3681,1.6838,
"2021-08-27",147.0777,148.3442,146.4295,148.1946,55802400.0000,147.7905,146.4856,1.3049,1.6080,
"2021-08-30",148.5935,153.0713,148.2046,152.7023,90956700.0000,148.5462,146.9461,1.6001,1.6064,
"2021-08-31",152.2436,152.3832,150.8773,151.4158,86453100.0000,148.9877,147.2772,1.7104,1.6272,
"2021-09-01",152.4131,154.5572,151.9244,152.0940,80313700.0000,149.4655,147.6340,1.8315,1.6681,
"2021-09-02",153.4503,154.2979,151.9843,153.2309,71115500.0000,150.0448,148.0486,1.9962,1.7337,
"2021-09-03",153.3406,154.2082,152.6724,153.8791,57808700.0000,150.6347,148.4805,2.1542,1.8178,
"2021-09-07",154.5473,156.8310,153.9688,156.2626,82278300.0000,151.5005,149.0569,2.4436,1.9430,
"2021-09-08",156.5518,156.6116,153.5600,154.6869,74420200.0000,151.9907,149.4740,2.5168,2.0577,
"2021-09-9",155.0658,155.6841,153.5300,153.6497,57305700.0000,152.2460,149.7833,2.4627,2.1387,
"2021-09-10",154.5772,155.0558,148.2943,148.5636,140893200.0000,151.6795,149.6929,1.9865,2.1083,
"2021-09-13",150.2191,151.0069,148.3442,149.1420,102404300.0000,151.2891,149.6521,1.6370,2.0140,
"2021-09-14",149.9399,150.6579,146.5092,147.7159,109296300.0000,150.7394,149.5087,1.2307,1.8574,
"2021-09-15",148.1547,149.0323,145.9707,148.6234,83281300.0000,150.4138,149.4431,0.9707,1.6800,
"2021-09-16",148.0351,148.5636,146.8184,148.3841,68034100.0000,150.1016,149.3647,0.7369,1.4914,
"2021-09-17",148.4140,148.4140,145.3624,145.6616,129868800.0000,149.4185,149.0904,0.3281,1.2587,
"2021-09-20",143.4077,144.4449,140.8846,142.5501,123478900.0000,148.3618,148.6059,-0.2441,0.9582,
"2021-09-21",143.5374,144.2055,142.3905,143.0387,75834000.0000,147.5429,148.1935,-0.6506,0.6364,
"2021-09-22",144.0559,146.0305,143.3080,145.4521,76404300.0000,147.2212,147.9905,-0.7692,0.3553,
"2021-09-23",146.2500,146.6788,145.2427,146.4295,64838200.0000,147.0994,147.8748,-0.7754,0.1291,
"2021-09-24",145.2627,147.0677,145.1629,146.5192,53477900.0000,147.0102,147.7744,-0.7643,-0.0495,
"2021-09-27",145.0732,145.5618,143.4277,144.9734,74150700.0000,146.6968,147.5669,-0.8701,-0.2137,
"2021-09-28",142.8592,144.3551,141.3035,141.5229,108972300.0000,145.9008,147.1192,-1.2184,-0.4146,
"2021-09-29",142.0814,144.0560,141.6426,142.4404,74602000.0000,145.3684,146.7726,-1.4042,-0.6125,
"2021-09-30",143.2681,143.9861,140.8946,141.1140,89056700.0000,144.7139,146.3535,-1.6396,-0.8179,
"2021-10-01",141.5129,142.5301,138.7305,142.2609,94639600.0000,144.3365,146.0503,-1.7138,-0.9971,
"2021-10-04",141.3733,141.8221,137.8928,138.7604,98322000.0000,143.4787,145.5103,-2.0317,-1.2040,
"2021-10-05",139.1095,141.8520,138.9798,140.7251,80861100.0000,143.0550,145.1559,-2.1008,-1.3834,
"2021-10-06",139.0895,141.7622,137.9925,141.6126,83221100.0000,142.8331,144.8934,-2.0603,-1.5188,
"2021-10-07",142.6697,143.8266,142.3307,142.8991,61732700.0000,142.8433,144.7457,-1.9024,-1.5955,
"2021-10-08",143.6371,143.7867,142.1711,142.5102,58773200.0000,142.7920,144.5801,-1.7881,-1.6340,
"2021-10-11",141.8819,144.4150,141.4232,142.4204,64452200.0000,142.7349,144.4201,-1.6853,-1.6443,
"2021-10-12",142.8393,142.8592,140.6553,141.1240,73035900.0000,142.4870,144.1760,-1.6889,-1.6532,
"2021-10-13",140.8547,141.0143,138.8203,140.5256,78762700.0000,142.1853,143.9056,-1.7203,-1.6666,
"2021-10-14",141.7223,143.4875,141.1240,143.3678,69907100.0000,142.3672,143.8657,-1.4985,-1.6330,
"2021-10-15",143.3778,144.5047,143.1185,144.4449,67940300.0000,142.6869,143.9086,-1.2218,-1.5507,
"2021-10-18",143.0587,146.4394,142.7695,146.1502,85589200.0000,143.2197,144.0747,-0.8550,-1.4116,
"2021-10-19",146.6090,148.7631,146.1502,148.3542,76378900.0000,144.0096,144.3917,-0.3821,-1.2057,
"2021-10-20",148.2944,149.3415,147.7159,148.8528,58418800.0000,144.7547,144.7221,0.0326,-0.9580,
"2021-10-21",148.4040,149.2318,147.4666,149.0722,61421000.0000,145.4189,145.0444,0.3746,-0.6915,
"2021-10-22",149.2817,149.7703,148.2345,148.2844,58883400.0000,145.8598,145.2844,0.5754,-0.4381,
"2021-10-25",148.2744,148.9625,147.2173,148.2345,50720600.0000,146.2251,145.5029,0.7222,-0.2061,
"2021-10-26",148.9226,150.4285,148.6035,148.9127,60893400.0000,146.6386,145.7555,0.8831,0.0118,
"2021-10-27",148.9526,149.3215,148.0849,148.4440,56094900.0000,146.9163,145.9546,0.9617,0.2018,
"2021-10-28",149.4113,152.7522,149.3116,152.1538,100077900.0000,147.7221,146.4138,1.3083,0.4231,
"2021-10-29",146.8184,149.5310,146.0106,149.3914,124953200.0000,147.9789,146.6344,1.3445,0.6074,
"2021-11-01",148.5836,149.2916,147.3968,148.5536,74588300.0000,148.0673,146.7765,1.2908,0.7441,
"2021-11-02",148.2545,151.1565,148.2445,149.6108,69122000.0000,148.3048,146.9865,1.3183,0.8589,
"2021-11-03",149.9798,151.5555,149.4113,151.0768,54511500.0000,148.7312,147.2895,1.4418,0.9755,
"2021-11-04",151.1665,152.0142,150.2291,150.5482,60394600.0000,149.0108,147.5309,1.4799,1.0764,
"2021-11-05",151.6967,152.0063,149.8691,151.0875,65463900.0000,149.3303,147.7943,1.5360,1.1683,
"2021-11-08",151.2173,151.3771,149.9689,150.2486,55020900.0000,149.4716,147.9761,1.4954,1.2337,
"2021-11-9",150.0089,151.2373,149.8691,150.6181,56787900.0000,149.6479,148.1718,1.4761,1.2822,
"2021-11-10",149.8291,149.9390,147.6619,147.7318,65187100.0000,149.3532,148.1392,1.2139,1.2685,
"2021-11-11",148.7705,149.2399,147.4921,147.6818,41000000.0000,149.0960,148.1053,0.9907,1.2130,
"2021-11-12",148.2411,150.2086,147.2923,149.7991,63804000.0000,149.2042,148.2308,0.9734,1.1651,
"2021-11-15",150.1787,151.6867,149.2398,149.8091,59222800.0000,149.2973,148.3477,0.9495,1.1220,
"2021-11-16",149.7492,151.2972,149.1500,150.8079,59256200.0000,149.5297,148.5300,0.9997,1.0975,
"2021-11-17",150.8079,154.8028,150.7979,153.2947,88807000.0000,150.1089,148.8829,1.2260,1.1232,
"2021-11-18",153.5144,158.4681,152.8553,157.6691,137827700.0000,151.2720,149.5337,1.7383,1.2462,
"2021-11-19",157.4494,160.8151,156.3308,160.3457,117305600.0000,152.6680,150.3346,2.3333,1.4636,
"2021-11-22",161.4743,165.4891,160.7951,160.8151,117467900.0000,153.9214,151.1109,2.8104,1.7330,
"2021-11-23",160.9150,161.5941,158.8576,161.2046,96041900.0000,155.0419,151.8586,3.1832,2.0231,
"2021-11-24",160.5455,161.9337,159.4369,161.7339,69463600.0000,156.0714,152.5901,3.4813,2.3147,
"2021-11-26",159.3670,160.2458,156.1610,156.6105,76959800.0000,156.1544,152.8879,3.2664,2.5050,
"2021-11-29",159.1672,160.9849,158.5879,160.0361,88748200.0000,156.7515,153.4174,3.3341,2.6709,
"2021-11-30",159.7864,165.3094,159.7165,165.0897,174048100.0000,158.0343,154.2820,3.7523,2.8871,
"2021-12-01",167.2669,170.0833,164.3206,164.5603,152052500.0000,159.0383,155.0434,3.9949,3.1087,
"2021-12-02",158.5380,163.9911,157.5992,163.5516,136739200.0000,159.7327,155.6736,4.0591,3.2988,
"2021-12-03",163.8113,164.7501,159.5168,161.6341,118023100.0000,160.0252,156.1151,3.9101,3.4210,
"2021-12-06",164.0809,167.6664,164.0710,165.1096,107497000.0000,160.8074,156.7814,4.0260,3.5420,
"2021-12-07",168.8649,171.3617,168.1258,170.9622,120405400.0000,162.3697,157.8318,4.5379,3.7412,
"2021-12-08",171.9110,175.7361,170.4828,174.8572,116998900.0000,164.2909,159.0930,5.1979,4.0325,
"2021-12-9",174.6874,176.5251,173.6987,174.3379,108923700.0000,165.8366,160.2222,5.6143,4.3489,
"2021-12-10",174.9871,179.4014,174.4677,179.2217,115402700.0000,167.8958,161.6296,6.2662,4.7324,
"2021-12-13",180.8895,181.8983,175.3066,175.5164,153237000.0000,169.0682,162.6582,6.4100,5.0679,
"2021-12-14",175.0270,177.5138,171.9909,174.1082,139380400.0000,169.8436,163.5064,6.3372,5.3217,
"2021-12-15",174.8872,179.2716,172.0907,179.0719,131063300.0000,171.2633,164.6594,6.6039,5.5782,
