Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-04-08,677.3800,689.5500,671.6500,683.8000,23924300,667.3176,676.5051,-9.1875,-18.0929
2021-04-9,677.7700,680.9700,669.4300,677.0200,21437100,668.8103,676.5432,-7.7329,-16.0209
2021-04-12,685.7000,704.8000,682.0900,701.9800,29135700,673.9133,678.4274,-4.5141,-13.7196
2021-04-13,712.7000,763.0000,710.6600,762.3200,44652800,687.5144,684.6417,2.8727,-10.4011
2021-04-14,770.7000,780.7900,728.0300,732.2300,49017400,694.3937,688.1668,6.2269,-7.0755
2021-04-15,743.1000,743.6900,721.3100,738.8500,27848900,701.2331,691.9211,9.3120,-3.7980
2021-04-16,728.6500,749.4100,724.6000,739.7800,27979500,707.1634,695.4662,11.6972,-0.6990
2021-04-19,719.6000,725.4000,691.8000,714.6300,39686200,708.3121,696.8857,11.4264,1.7261
2021-04-20,717.4200,737.2500,710.6900,718.9900,35609000,709.9549,698.5231,11.4318,3.6672
2021-04-21,704.7700,744.8400,698.0000,744.1200,31215500,715.2110,701.9006,13.3104,5.5959
2021-04-22,741.5000,753.7700,718.0400,719.6900,35590300,715.9001,703.2184,12.6818,7.0131
2021-04-23,719.8000,737.3600,715.4600,729.4000,28370000,717.9770,705.1577,12.8193,8.1743
2021-04-26,741.0000,749.3000,732.6100,738.2000,31038500,721.0882,707.6053,13.4829,9.2360
2021-04-27,717.9600,724.0000,703.3500,704.7400,29437000,718.5731,707.3931,11.1801,9.6248
2021-04-28,696.4100,708.5000,693.6000,694.4000,22271000,714.8542,706.4306,8.4236,9.3846
2021-04-29,699.5100,702.2500,668.5000,677.0000,28845400,709.0305,704.2506,4.7799,8.4636
2021-04-30,667.5900,715.4700,666.1400,709.4400,40758700,709.0935,704.6350,4.4585,7.6626
2021-05-03,703.8000,706.0000,680.5000,684.9000,27043100,705.3714,703.1731,2.1983,6.5697
2021-05-04,678.9400,683.4500,657.7000,673.6000,29739300,700.4835,700.9825,-0.4990,5.1560
2021-05-05,681.0600,685.3000,667.3400,670.9400,21901900,695.9383,698.7572,-2.8188,3.5610
2021-05-06,680.7600,681.0200,650.0000,663.5400,27784600,690.9540,696.1485,-5.1945,1.8099
2021-05-07,665.8000,690.0000,660.2200,672.3700,23469200,688.0949,694.3871,-6.2922,0.1895
2021-05-10,664.9000,665.0500,627.6100,629.0400,31392400,679.0095,689.5466,-10.5370,-1.9558
2021-05-11,599.2400,627.1000,595.6000,617.2000,46503900,669.5004,684.1876,-14.6872,-4.5021
2021-05-12,602.4900,620.4100,586.7700,589.8900,33823600,657.2526,677.2026,-19.9499,-7.5917
2021-05-13,601.5400,606.4600,559.6500,571.6900,44184900,644.0891,669.3868,-25.2977,-11.1329
2021-05-14,583.4100,592.8700,570.4600,589.7400,33370900,635.7277,663.4871,-27.7593,-14.4582
2021-05-17,575.5500,589.7300,561.2000,576.8300,32390400,626.6665,657.0680,-30.4015,-17.6468
2021-05-18,568.0000,596.2500,563.3800,577.8700,36830600,619.1594,651.2015,-32.0421,-20.5259
2021-05-19,552.5500,566.2100,546.9800,563.4600,39578400,610.5903,644.7021,-34.1119,-23.2431
2021-05-20,575.0000,588.8500,571.0700,586.7800,30821100,606.9271,640.4116,-33.4845,-25.2914
2021-05-21,596.1100,596.6800,580.0000,580.8800,26030600,602.9199,636.0019,-33.0820,-26.8495
2021-05-24,581.6000,614.4800,573.6500,606.4400,34558100,603.4614,633.8121,-30.3506,-27.5497
2021-05-25,607.3100,613.9900,595.7100,604.6900,28005900,603.6505,631.6549,-28.0044,-27.6407
2021-05-26,607.5600,626.1700,601.5000,619.1300,28639300,606.0319,630.7271,-24.6952,-27.0516
2021-05-27,620.2400,631.1300,616.2100,630.8500,26370600,609.8501,630.7362,-20.8861,-25.8185
2021-05-28,628.5000,635.5900,622.3800,625.2200,22737000,612.2147,630.3276,-18.1129,-24.2774
2021-06-01,627.8000,633.8000,620.5500,623.9000,18084900,614.0124,629.8515,-15.8391,-22.5897
2021-06-02,620.1300,623.3600,599.1400,605.1200,23302800,612.6444,628.0195,-15.3752,-21.1468
2021-06-03,601.8000,604.5500,571.2200,572.8400,30111900,606.5206,623.9322,-17.4115,-20.3998
2021-06-04,579.7100,600.6100,577.2000,599.0500,24036900,605.3713,622.0890,-16.7177,-19.6633
2021-06-07,591.8300,610.0000,582.8800,605.1300,22543700,605.3342,620.8328,-15.4986,-18.8304
2021-06-08,623.0100,623.0900,595.5000,603.5900,26053400,605.0658,619.5556,-14.4897,-17.9623
2021-06-9,602.1700,611.7900,597.6300,598.7800,16584600,604.0988,618.0166,-13.9178,-17.1534
2021-06-10,603.8800,616.5900,600.5000,610.1200,23919600,605.0251,617.4317,-12.4066,-16.2040
2021-06-11,610.2300,612.5600,601.5200,609.8900,16205300,605.7736,616.8731,-11.0995,-15.1831
2021-06-14,612.2300,625.4900,609.1800,617.6900,20424000,607.6069,616.9336,-9.3267,-14.0118
2021-06-15,616.6900,616.7900,598.2300,599.3600,17764100,606.3381,615.6318,-9.2937,-13.0682
2021-06-16,597.5400,608.5000,593.5000,604.8700,22144100,606.1123,614.8347,-8.7224,-12.1990
2021-06-17,601.8900,621.4700,601.3400,616.6000,22701400,607.7257,614.9654,-7.2397,-11.2072
2021-06-18,613.3700,628.3500,611.8000,623.3100,24560900,610.1233,615.5835,-5.4602,-10.0578
2021-06-21,624.4800,631.3900,608.8800,620.8300,24812700,611.7705,615.9722,-4.2017,-8.8866
2021-06-22,618.2500,628.5700,615.5000,623.7100,19158900,613.6074,616.5453,-2.9380,-7.6968
2021-06-23,632.0000,657.2000,630.0400,656.5700,31099200,620.2170,619.5101,0.7069,-6.0161
2021-06-24,674.9900,697.6200,667.6100,679.8200,45982400,629.3867,623.9775,5.4092,-3.7310
2021-06-25,689.5800,693.8100,668.7000,671.8700,32496700,635.9226,627.5251,8.3975,-1.3053
2021-06-28,671.6400,694.7000,670.3200,688.7200,21628200,644.0453,632.0581,11.9872,1.3532
2021-06-29,684.6500,687.5100,675.8900,680.7600,17381300,649.6937,635.6656,14.0281,3.8881
2021-06-30,679.7700,692.8100,678.1400,679.7000,18924900,654.3100,638.9274,15.3826,6.1870
2021-07-01,683.9200,687.9900,672.8000,677.9200,18634500,657.9423,641.8158,16.1266,8.1749
2021-07-02,678.9800,700.0000,673.2600,678.9000,27054500,661.1666,644.5627,16.6039,9.8607
2021-07-06,681.7100,684.0000,651.4000,659.5800,23284500,660.9225,645.6751,15.2474,10.9381
2021-07-07,664.2700,665.7000,638.3200,644.6500,18792000,658.4190,645.5992,12.8198,11.3144
2021-07-08,628.3700,654.4300,620.4600,652.8100,22773300,657.5561,646.1333,11.4228,11.3361
2021-07-9,653.1800,658.9100,644.6900,656.9500,18140500,657.4629,646.9346,10.5283,11.1745
2021-07-12,662.2000,687.2400,662.1600,685.7000,25927000,661.8070,649.8061,12.0010,11.3398
2021-07-13,686.3200,693.2800,666.3000,668.5400,20966100,662.8429,651.1938,11.6491,11.4017
2021-07-14,670.7500,678.6100,652.8400,653.3800,21641200,661.3871,651.3557,10.0313,11.1276
2021-07-15,658.3900,666.1400,637.8800,650.6000,20209600,659.7275,651.2997,8.4278,10.5876
2021-07-16,654.6800,656.7000,642.2000,644.2200,16371000,657.3417,650.7753,6.5664,9.7834
2021-07-19,629.8900,647.2000,621.2900,646.2200,21297100,655.6307,650.4379,5.1928,8.8653
2021-07-20,651.9900,662.3900,640.5000,660.5000,15487100,656.3798,651.1832,5.1966,8.1315
2021-07-21,659.6100,664.8600,650.2900,655.2900,13953300,656.2121,651.4874,4.7247,7.4502
2021-07-22,656.4400,662.1700,644.6000,649.2600,15105700,655.1426,651.3224,3.8202,6.7242
2021-07-23,646.3600,648.8000,637.3000,643.3800,14604900,653.3330,650.7341,2.5989,5.8991
2021-07-26,650.9700,668.2000,647.1100,657.6200,25336600,653.9925,651.2442,2.7483,5.2690
2021-07-27,663.4000,666.5000,627.2400,644.7800,32813300,652.5752,650.7653,1.8099,4.5771
2021-07-28,647.0000,654.9700,639.4000,646.9800,16006600,651.7144,650.4849,1.2294,3.9076
2021-07-29,649.7900,683.6900,648.8000,677.3500,30394600,655.6583,652.4750,3.1834,3.7628
2021-07-30,671.7600,697.5300,669.0000,687.2000,29656400,660.5109,655.0472,5.4637,4.1029
2021-08-02,700.0000,726.9400,698.4000,709.6700,33615800,668.0738,659.0933,8.9805,5.0785
2021-08-03,719.0000,722.6500,701.0100,709.7400,21620300,674.4840,662.8449,11.6391,6.3906
2021-08-04,711.0000,724.9000,708.9300,710.9200,17002600,680.0895,666.4060,13.6835,7.8492
2021-08-05,716.0000,720.9500,711.4100,714.6300,12919600,685.4035,669.9782,15.4253,9.3644
2021-08-06,711.9000,716.3300,697.6300,699.1000,15623000,687.5106,672.1353,15.3753,10.5666
2021-08-9,710.1700,719.0300,705.1300,713.7600,14715300,691.5490,675.2187,16.3303,11.7193
2021-08-10,713.9900,716.5900,701.8800,709.9900,13432300,694.3861,677.7943,16.5918,12.6938
2021-08-11,712.7100,715.1800,704.2100,707.8200,9800600,696.4528,680.0184,16.4344,13.4419
2021-08-12,706.3400,722.8000,699.4000,722.2500,17459100,700.4216,683.1467,17.2749,14.2085
2021-08-13,723.7100,729.9000,714.3400,717.1700,16731500,702.9983,685.6669,17.3313,14.8331
2021-08-16,705.0700,709.5000,676.4000,686.1700,22677400,700.4093,685.7042,14.7051,14.8075
2021-08-17,672.6600,674.5800,648.8400,665.7100,23721300,695.0710,684.2232,10.8478,14.0156
2021-08-18,669.7500,695.7700,669.3500,688.9900,20349400,694.1354,684.5763,9.5592,13.1243
2021-08-19,678.2100,686.5500,667.5900,673.4700,14313500,690.9561,683.7536,7.2026,11.9399
2021-08-20,682.8500,692.1300,673.7000,680.2600,14841900,689.3106,683.4948,5.8158,10.7151
2021-08-23,685.4400,712.1300,680.7500,706.3000,20264900,691.9243,685.1841,6.7403,9.9201
2021-08-24,710.6800,715.2200,702.6400,708.4900,13083100,694.4729,686.9104,7.5625,9.4486
2021-08-25,707.0300,716.9700,704.0000,711.2000,12645600,697.0463,688.7097,8.3366,9.2262
2021-08-26,708.3100,715.4000,697.6200,701.1600,13214300,697.6792,689.6319,8.0473,8.9904
2021-08-27,705.0000,715.0000,702.1000,711.9200,13833800,699.8701,691.2829,8.5872,8.9098
2021-08-30,714.7200,731.0000,712.7300,730.9100,18604200,704.6454,694.2182,10.4272,9.2133
2021-08-31,733.0000,740.3900,726.4400,735.7200,20855400,709.4261,697.2924,12.1337,9.7974
2021-09-01,734.0800,741.9900,731.2700,734.0900,13204300,713.2206,700.0182,13.2024,10.4784
2021-09-02,734.5000,740.9700,730.5400,732.3900,12777300,716.1697,702.4161,13.7536,11.1334
2021-09-03,732.2500,734.0000,724.2000,733.5700,15246100,718.8467,704.7238,14.1229,11.7313
2021-09-07,740.0000,760.2000,739.2600,752.9200,20039800,724.0887,708.2939,15.7949,12.5440
2021-09-08,761.5800,764.4500,740.7700,753.8700,18793000,728.6705,711.6699,17.0006,13.4353
2021-09-9,753.4100,762.1000,751.6300,754.8600,14077700,732.6996,714.8691,17.8305,14.3144
2021-09-10,759.6000,762.6100,734.5200,736.2700,15184200,733.2489,716.4544,16.7945,14.8104
2021-09-13,740.2100,744.7800,708.8500,743.0000,22952500,734.7491,718.4207,16.3283,15.1140
2021-09-14,742.5700,754.4700,736.4000,744.4900,18524900,736.2477,720.3518,15.8959,15.2704
2021-09-15,745.0000,756.8600,738.3600,755.8300,15357700,739.2603,722.9798,16.2805,15.4724
2021-09-16,752.8300,758.9100,747.6100,756.9900,13923400,741.9880,725.4991,16.4889,15.6757
2021-09-17,757.1500,761.0400,750.0000,759.4900,28204200,744.6806,728.0169,16.6637,15.8733
2021-09-20,734.5600,742.0000,718.6200,730.1700,24757700,742.4482,728.1764,14.2718,15.5530
2021-09-21,734.7900,744.7400,730.4400,739.3800,16330700,741.9762,729.0063,12.9699,15.0364
2021-09-22,743.5300,753.6700,739.1200,751.9400,15126300,743.5091,730.7051,12.8040,14.5899
2021-09-23,755.0000,758.2000,747.9200,753.6400,11947500,745.0677,732.4040,12.6637,14.2047
2021-09-24,745.8900,774.8000,744.5600,774.3900,21373000,749.5788,735.5141,14.0647,14.1767
2021-09-27,773.1200,799.0000,769.3100,791.3600,28070700,756.0067,739.6508,16.3559,14.6125
2021-09-28,787.2000,795.6400,766.1800,777.5600,25381400,759.3226,742.4589,16.8637,15.0627
2021-09-29,779.8000,793.5000,770.6800,781.3100,20942900,762.7053,745.3367,17.3685,15.5239
2021-09-30,781.0000,789.1300,775.0000,775.4800,17956000,764.6706,747.5696,17.1010,15.8393
2021-10-01,778.4000,780.7800,763.5900,775.2200,17031400,766.2936,749.6178,16.6758,16.0066
2021-10-04,796.5000,806.9700,776.1200,781.5300,30483300,768.6376,751.9816,16.6560,16.1365
2021-10-05,784.8000,797.3100,774.2000,780.5900,18432600,770.4765,754.1008,16.3757,16.1843
2021-10-06,776.2000,786.6600,773.2200,782.7500,14632800,772.3647,756.2229,16.1418,16.1758
2021-10-07,785.4600,805.0000,783.3800,793.6100,19195800,775.6332,758.9923,16.6409,16.2688
2021-10-08,796.2100,796.3800,780.9100,785.4900,16738600,777.1496,760.9551,16.1945,16.2540
2021-10-11,787.6500,801.2400,785.5000,791.9400,14200300,779.4251,763.2503,16.1748,16.2381
2021-10-12,800.9300,812.3200,796.5700,805.7200,22020000,783.4704,766.3962,17.0742,16.4054
2021-10-13,810.4700,815.4100,805.7800,811.0800,14120100,787.7181,769.7061,18.0120,16.7267
2021-10-14,815.4900,820.2500,813.3500,818.3200,12247200,792.4261,773.3071,19.1189,17.2051
2021-10-15,823.7400,843.2100,822.3500,843.0300,18924600,800.2113,778.4718,21.7395,18.1120
2021-10-18,851.7900,875.2600,851.4700,870.1100,24207200,810.9649,785.2598,25.7051,19.6306
2021-10-19,877.5300,877.9500,862.5100,864.2700,17381100,819.1657,791.1124,28.0533,21.3152
2021-10-20,865.3500,869.4900,857.3800,865.8000,14032100,826.3402,796.6448,29.6954,22.9912
2021-10-21,856.0000,900.0000,855.5000,894.0000,31481500,836.7494,803.8563,32.8931,24.9716
2021-10-22,895.5000,910.0000,890.9600,909.6800,22880800,847.9695,811.6951,36.2744,27.2321
2021-10-25,950.5300,1045.0200,944.2000,1024.8600,62852100,875.1834,827.4851,47.6983,31.3254
2021-10-26,1024.6899,1094.9399,1001.4400,1018.4300,62415000,897.2214,841.6292,55.5922,36.1787
2021-10-27,1039.6600,1070.8800,1030.7800,1037.8600,38526500,918.8581,856.1648,62.6933,41.4816
2021-10-28,1068.3101,1081.0000,1054.2000,1077.0400,27213200,943.1938,872.5259,70.6678,47.3189
2021-10-29,1081.8600,1115.2100,1073.2100,1114.0000,29918400,969.4716,890.4129,79.0588,53.6669
