Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-03-31,130.0642,134.6110,129.7344,133.3893,31477600,129.5945,130.8742,-1.2797,-1.8846
2021-04-01,135.6278,138.6032,135.0182,138.0211,30827600,130.8909,131.4036,-0.5127,-1.6102
2021-04-05,138.5782,140.0422,137.2341,139.7774,25567200,132.2581,132.0239,0.2342,-1.2414
2021-04-06,139.8998,140.4444,137.6389,138.5182,19174400,133.2212,132.5049,0.7162,-0.8498
2021-04-07,138.7106,142.3356,137.0193,141.3363,25128400,134.4697,133.1591,1.3105,-0.4178
2021-04-08,142.4280,144.6140,142.3905,143.0701,24441600,135.7928,133.8933,1.8995,0.0457
2021-04-9,142.0408,143.9794,141.6511,143.8995,19517200,137.0400,134.6345,2.4055,0.5177
2021-04-12,142.7978,153.4178,141.2938,151.9838,86932400,139.3390,135.9196,3.4194,1.0980
2021-04-13,152.2087,156.8904,151.1519,156.6855,67621200,142.0077,137.4578,4.5499,1.7884
2021-04-14,156.1409,157.0953,152.1687,152.6634,38550000,143.6471,138.5842,5.0629,2.4433
2021-04-15,156.5157,162.0293,156.2059,161.2599,59848000,146.3567,140.2638,6.0929,3.1732
2021-04-16,160.4179,161.5447,158.5418,159.0139,33520800,148.3040,141.6527,6.6512,3.8688
2021-04-19,155.2565,157.9646,152.2237,153.5103,40442000,149.1049,142.5311,6.5739,4.4098
2021-04-20,153.1255,154.8618,149.5255,151.6066,33413200,149.4898,143.2033,6.2865,4.7852
2021-04-21,151.0820,153.5178,150.9171,153.4978,21677600,150.1064,143.9659,6.1405,5.0562
2021-04-22,153.6427,154.2772,147.7318,148.3988,27778800,149.8437,144.2942,5.5495,5.1549
2021-04-23,149.2383,153.2430,148.8985,152.5460,22750000,150.2594,144.9055,5.3540,5.1947
2021-04-26,151.7440,154.6820,151.1444,154.6720,19779600,150.9383,145.6289,5.3094,5.2176
2021-04-27,155.6763,156.5956,153.4378,153.7101,16457200,151.3647,146.2275,5.1372,5.2015
2021-04-28,153.5377,155.2141,152.0488,152.6609,20941600,151.5641,146.7041,4.8601,5.1332
2021-04-29,153.8925,154.2573,150.6098,153.1405,17319600,151.8067,147.1809,4.6258,5.0318
2021-04-30,151.6391,153.5427,149.8653,149.9902,20191200,151.5272,147.3890,4.1383,4.8531
2021-05-03,151.1444,152.3611,147.7718,148.2639,20391200,151.0252,147.4538,3.5714,4.5967
